Film,Year,Major Studio,Rotten Tomatoes,Audience Score,Genre,Budget ($m),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Market Profitability
9,2009,Focus,57,58,Animation,30,31.74,16.67,48.41,1.6137
21,2008,Sony,35,73,Crime,35,81.16,76.69,157.85,4.51
300,2007,Warner Bros.,60,90,Action,65,210.61,245.45,456.07,7.0164
2012,2009,Sony,39,63,Action,200,165.6,602.4,768,3.84
(500) Days of Summer,2009,Fox,87,81,Comedy,7.5,32.39,28.33,60.72,8.096
"10,000 B.C.",2008,Warner Bros.,9,44,Adventure,105,94.78,175,269.78,2.5694
12 Rounds,2009,Fox,30,52,Action,20,12.23,5.94,18.17,0.9085
127 Hours,2010,Independent,93,84,Adventure,18,18.33,42.4,60.73,3.3739
17 Again,2009,Independent,55,70,Comedy,20,64.2,72.1,136.3,6.815
27 Dresses,2008,Fox,40,71,Comedy,30,76.81,83.5,160.31,5.3436
3:10 to Yuma,2007,Lionsgate,88,85,Western,48,53.61,16.17,69.78,1.4538
30 Days of Night,2007,Independent,50,57,Horror,32,39.57,35.53,75.1,2.3467
88 Minutes,2008,Sony,5,51,Drama,30,17.21,15.37,32.58,1.086
A Christmas Carol,2009,Disney,52,72,Animation,200,137.9,187.43,325.33,1.6267
A Nightmare on Elm Street,2010,Warner Bros.,13,40,Horror,35,63.08,52.59,115.67,3.3049
A Perfect Getaway,2009,Universal,61,50,Mystery,14,15.5,7.33,22.83,1.6307
A Serious Man,2009,Universal,89,64,Drama,7,9.2,21.48,30.68,4.3829
Across the Universe,2007,Independent,54,84,Romance,45,24.34,5.02,29.37,0.6526
Adventureland,2009,Miramax,89,56,Comedy,9.8,16.04,1.1,17.14,1.749
Alice in Wonderland,2010,Disney,52,72,Adventure,200,334.19,690.2,1024.39,5.122
Alien vs. Predator -- Requiem,2007,Fox,14,37,Horror,40,41.8,87.09,128.88,3.2221
Aliens in the Attic,2009,Fox,30,46,Adventure,45,25.2,32.68,57.88,1.2862
All About Steve,2009,Fox,6,35,Comedy,15,33.86,6.26,40.12,2.6747
All About Steve,2010,Independent,6,35,Comedy,15,33.86,6.26,40.12,2.6747
All Good Things,2010,Independent,33,64,Drama,20,0.58,0.062,0.642,0.0321
Alpha and Omega,2010,Crest,17,41,Animation,20,25.12,4.8,29.92,1.496
Alvin and the Chipmunks,2007,Fox,26,73,Animation,70,217.33,143.14,360.47,5.1495
Alvin and the Chipmunks: The Squeakquel,2009,Independent,21,59,Animation,75,219.5,221.3,440.7,5.876
Amelia,2009,Independent,21,35,Adventure,40,14.2,5,19.2,0.48
American Gangster,2007,Universal,79,87,Thriller,100,130.16,137.74,267.9,2.679
An Education,2009,Sony Classics,94,78,Drama,7.5,12.57,13.52,26.09,3.4787
Angels & Demons,2009,Sony,36,65,Mystery,150,133.4,352.6,485.9,3.2393
Appaloosa,2008,Warner Bros.,77,55,Action,20,20.07,7.52,27.59,1.3795
Armored,2009,Sony,40,34,Action,20,16,0,16,0.8
Astro Boy,2009,Summit,49,53,Animation,65,19.55,24.54,44.09,0.6783
Australia,2008,Fox,55,69,Adventure,78,46.69,161.8,208.49,2.673
Away We Go,2009,Focus,67,74,Comedy,21,9.45,5.44,14.89,0.709
Baby Mama,2008,Independent,63,59,Comedy,70,60.32,3.7,64.02,0.9146
Babylon A.D.,2008,Fox,7,32,Action,45,22.53,47.68,70.21,1.5603
Bandslam,2009,Summit,79,60,Comedy,20,5.2,6.9,12.1,0.61
Bangkok Dangerous,2008,Lionsgate,9,33,Action,45,15.3,31.3,46.6,1.0355
"Be Kind, Rewind",2008,New Line,65,57,Comedy,20,11.18,19.4,30.58,1.5288
Bedtime Stories,2008,Disney,25,63,Comedy,80,110.1,108.25,218.35,2.7294
Bee Movie,2007,Paramount,52,57,Animation,150,126.63,160.49,287.12,1.9142
Beowulf,2007,Paramount,71,52,Action,150,82.2,114.07,196.26,1.3084
Beverly Hills Chihuahua,2008,Disney,41,56,Adventure,20,94.5,50.7,145.2,7.26
